acc_sum,block,block_c,block_cond,con_img,correct,correct_response,datetime,endtime,face,jitter,line,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
0,prac,1,A,haborder.png,0,m,Fri Sep 06 2024 09:52:07 GMT-0500 (Central Daylight Time),60464.699999928474,CFD-BM-015-017-HC.jpg,1700,solid,O,None,1516,1,1,3998.7999999523163,56465.89999997616,7018,ATS,B,1
1,prac,1,A,haborder.png,1,z,Fri Sep 06 2024 09:52:07 GMT-0500 (Central Daylight Time),63363.89999997616,CFD-BF-050-012-A.jpg,1200,solid,O,z,905,6,1,6898.0,56465.89999997616,7018,ATS,B,2
2,prac,1,A,haborder.png,1,m,Fri Sep 06 2024 09:52:07 GMT-0500 (Central Daylight Time),66463.29999995232,CFD-WF-011-006-HC.jpg,1500,solid,O,m,810,11,1,9997.399999976158,56465.89999997616,7018,ATS,B,3
3,prac,1,A,haborder.png,1,z,Fri Sep 06 2024 09:52:07 GMT-0500 (Central Daylight Time),69945.09999990463,CFD-BM-037-041-A.jpg,1600,solid,O,z,1092,2,1,13479.199999928474,56465.89999997616,7018,ATS,B,4
4,prac,1,A,haborder.png,1,z,Fri Sep 06 2024 09:52:07 GMT-0500 (Central Daylight Time),73377.5,CFD-WM-009-009-A.jpg,1900,solid,O,z,741,8,1,16911.600000023842,56465.89999997616,7018,ATS,B,5
5,prac,1,A,haborder.png,1,m,Fri Sep 06 2024 09:52:07 GMT-0500 (Central Daylight Time),76942.89999997616,CFD-BF-035-007-HC.jpg,2000,solid,O,m,776,5,1,20477.0,56465.89999997616,7018,ATS,B,6
6,prac,1,A,haborder.png,1,m,Fri Sep 06 2024 09:52:07 GMT-0500 (Central Daylight Time),80375.29999995232,CFD-WM-012-007-HC.jpg,1700,solid,O,m,943,9,1,23909.399999976158,56465.89999997616,7018,ATS,B,7
7,prac,1,A,haborder.png,1,m,Fri Sep 06 2024 09:52:07 GMT-0500 (Central Daylight Time),83274.39999997616,CFD-WM-011-006-HC.jpg,1400,solid,O,m,707,7,1,26808.5,56465.89999997616,7018,ATS,B,8
8,prac,1,A,haborder.png,1,z,Fri Sep 06 2024 09:52:07 GMT-0500 (Central Daylight Time),85673.5,CFD-WF-013-015-A.jpg,1000,solid,O,z,607,12,1,29207.600000023842,56465.89999997616,7018,ATS,B,9
8,prac,1,A,haborder.png,0,z,Fri Sep 06 2024 09:52:07 GMT-0500 (Central Daylight Time),88789.29999995232,CFD-WF-026-008-A.jpg,1600,solid,O,m,720,10,1,32323.399999976158,56465.89999997616,7018,ATS,B,10
9,prac,1,A,haborder.png,1,z,Fri Sep 06 2024 09:52:07 GMT-0500 (Central Daylight Time),91355.0,CFD-BF-051-043-A.jpg,1000,solid,O,z,780,4,1,34889.10000002384,56465.89999997616,7018,ATS,B,11
10,prac,1,A,haborder.png,1,m,Fri Sep 06 2024 09:52:07 GMT-0500 (Central Daylight Time),94670.69999992847,CFD-BM-020-024-HC.jpg,1500,solid,O,m,1018,3,1,38204.799999952316,56465.89999997616,7018,ATS,B,12
1,prac,1,B,mfborder.png,1,z,Fri Sep 06 2024 09:52:07 GMT-0500 (Central Daylight Time),121662.19999992847,CFD-WF-027-007-HC.jpg,1900,dash,O,z,1102,8,1,3804.1999999284744,117858.0,7018,ATS,B,1
2,prac,1,B,mfborder.png,1,m,Fri Sep 06 2024 09:52:07 GMT-0500 (Central Daylight Time),125477.59999990463,CFD-WM-009-009-A.jpg,1700,dash,O,m,1328,9,1,7619.599999904633,117858.0,7018,ATS,B,2
3,prac,1,B,mfborder.png,1,z,Fri Sep 06 2024 09:52:07 GMT-0500 (Central Daylight Time),127960.29999995232,CFD-WF-011-006-HC.jpg,1000,dash,O,z,691,12,1,10102.299999952316,117858.0,7018,ATS,B,3
4,prac,1,B,mfborder.png,1,z,Fri Sep 06 2024 09:52:07 GMT-0500 (Central Daylight Time),131225.79999995232,CFD-BF-027-013-HC.jpg,1500,dash,O,z,973,3,1,13367.799999952316,117858.0,7018,ATS,B,4
5,prac,1,B,mfborder.png,1,z,Fri Sep 06 2024 09:52:07 GMT-0500 (Central Daylight Time),134458.39999997616,CFD-WF-026-008-A.jpg,1500,dash,O,z,940,11,1,16600.399999976158,117858.0,7018,ATS,B,5
6,prac,1,B,mfborder.png,1,m,Fri Sep 06 2024 09:52:07 GMT-0500 (Central Daylight Time),137457.29999995232,CFD-WM-012-007-HC.jpg,1600,dash,O,m,607,10,1,19599.299999952316,117858.0,7018,ATS,B,6
7,prac,1,B,mfborder.png,1,m,Fri Sep 06 2024 09:52:07 GMT-0500 (Central Daylight Time),140406.39999997616,CFD-BM-041-048-A.jpg,1600,dash,O,m,553,2,1,22548.399999976158,117858.0,7018,ATS,B,7
8,prac,1,B,mfborder.png,1,m,Fri Sep 06 2024 09:52:07 GMT-0500 (Central Daylight Time),143771.89999997616,CFD-BM-020-024-HC.jpg,1700,dash,O,m,871,1,1,25913.899999976158,117858.0,7018,ATS,B,8
9,prac,1,B,mfborder.png,1,z,Fri Sep 06 2024 09:52:07 GMT-0500 (Central Daylight Time),146854.39999997616,CFD-BF-035-007-HC.jpg,1400,dash,O,z,885,7,1,28996.399999976158,117858.0,7018,ATS,B,9
10,prac,1,B,mfborder.png,1,m,Fri Sep 06 2024 09:52:07 GMT-0500 (Central Daylight Time),149786.59999990463,CFD-WM-037-060-A.jpg,1200,dash,O,m,939,6,1,31928.599999904633,117858.0,7018,ATS,B,10
11,prac,1,B,mfborder.png,1,m,Fri Sep 06 2024 09:52:07 GMT-0500 (Central Daylight Time),153385.59999990463,CFD-BM-037-041-A.jpg,2000,dash,O,m,807,5,1,35527.59999990463,117858.0,7018,ATS,B,11
